DT,Home,Away,Home_points,Away_points,season,country,league
2023-01-17 17:30:00,Mlada Boleslav,Vitkovice,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-17 17:00:00,Trinec,Olomouc,1.0,3.0,2022-2023,czech-republic,extraliga
2023-01-15 18:00:00,Kometa Brno,Vitkovice,2.0,5.0,2022-2023,czech-republic,extraliga
2023-01-15 17:00:00,Ceske Budejovice,Kladno,6.0,2.0,2022-2023,czech-republic,extraliga
2023-01-15 16:30:00,Plzen,Mlada Boleslav,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-15 16:00:00,Liberec,Karlovy Vary,3.0,1.0,2022-2023,czech-republic,extraliga
2023-01-15 16:00:00,Mountfield HK,Sparta Prague,3.0,4.0,2022-2023,czech-republic,extraliga
2023-01-15 15:30:00,Litvinov,Pardubice,1.0,2.0,2022-2023,czech-republic,extraliga
2023-01-13 18:30:00,Trinec,Kometa Brno,6.0,1.0,2022-2023,czech-republic,extraliga
2023-01-13 18:00:00,Liberec,Pardubice,3.0,4.0,2022-2023,czech-republic,extraliga
2023-01-13 17:30:00,Ceske Budejovice,Karlovy Vary,2.0,4.0,2022-2023,czech-republic,extraliga
2023-01-13 17:30:00,Mlada Boleslav,Mountfield HK,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-13 17:30:00,Plzen,Litvinov,4.0,1.0,2022-2023,czech-republic,extraliga
2023-01-13 17:30:00,Vitkovice,Kladno,0.0,3.0,2022-2023,czech-republic,extraliga
2023-01-11 18:00:00,Olomouc,Kometa Brno,1.0,4.0,2022-2023,czech-republic,extraliga
2023-01-10 18:00:00,Mountfield HK,Liberec,5.0,4.0,2022-2023,czech-republic,extraliga
2023-01-10 17:30:00,Pardubice,Sparta Prague,0.0,3.0,2022-2023,czech-republic,extraliga
2023-01-10 17:30:00,Plzen,Vitkovice,2.0,3.0,2022-2023,czech-republic,extraliga
2023-01-08 17:20:00,Trinec,Plzen,6.0,1.0,2022-2023,czech-republic,extraliga
2023-01-08 17:00:00,Kometa Brno,Pardubice,1.0,4.0,2022-2023,czech-republic,extraliga
2023-01-08 16:00:00,Liberec,Ceske Budejovice,2.0,3.0,2022-2023,czech-republic,extraliga
2023-01-08 16:00:00,Mountfield HK,Olomouc,5.0,4.0,2022-2023,czech-republic,extraliga
2023-01-08 16:00:00,Sparta Prague,Kladno,4.0,0.0,2022-2023,czech-republic,extraliga
2023-01-08 15:30:00,Karlovy Vary,Vitkovice,1.0,3.0,2022-2023,czech-republic,extraliga
2023-01-08 15:30:00,Litvinov,Mlada Boleslav,4.0,3.0,2022-2023,czech-republic,extraliga
2023-01-06 18:30:00,Sparta Prague,Liberec,2.0,5.0,2022-2023,czech-republic,extraliga
2023-01-06 18:00:00,Olomouc,Kladno,6.0,2.0,2022-2023,czech-republic,extraliga
2023-01-06 18:00:00,Pardubice,Karlovy Vary,7.0,4.0,2022-2023,czech-republic,extraliga
2023-01-06 17:30:00,Ceske Budejovice,Vitkovice,0.0,2.0,2022-2023,czech-republic,extraliga
2023-01-06 17:30:00,Mlada Boleslav,Kometa Brno,7.0,3.0,2022-2023,czech-republic,extraliga
2023-01-06 17:00:00,Trinec,Litvinov,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-05 17:30:00,Plzen,Mountfield HK,0.0,4.0,2022-2023,czech-republic,extraliga
2023-01-03 18:30:00,Sparta Prague,Ceske Budejovice,5.0,3.0,2022-2023,czech-republic,extraliga
2023-01-03 18:00:00,Kladno,Plzen,3.0,4.0,2022-2023,czech-republic,extraliga
2023-01-03 18:00:00,Kometa Brno,Litvinov,3.0,1.0,2022-2023,czech-republic,extraliga
2023-01-03 18:00:00,Liberec,Olomouc,6.0,1.0,2022-2023,czech-republic,extraliga
2023-01-03 18:00:00,Mountfield HK,Trinec,2.0,3.0,2022-2023,czech-republic,extraliga
2023-01-03 17:30:00,Karlovy Vary,Mlada Boleslav,4.0,1.0,2022-2023,czech-republic,extraliga
2023-01-03 17:20:00,Vitkovice,Pardubice,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-30 18:00:00,Olomouc,Vitkovice,2.0,4.0,2022-2023,czech-republic,extraliga
2022-12-30 18:00:00,Pardubice,Ceske Budejovice,4.0,1.0,2022-2023,czech-republic,extraliga
2022-12-30 17:30:00,Litvinov,Mountfield HK,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-30 17:30:00,Mlada Boleslav,Kladno,1.0,2.0,2022-2023,czech-republic,extraliga
2022-12-30 17:30:00,Plzen,Kometa Brno,5.0,2.0,2022-2023,czech-republic,extraliga
2022-12-30 17:00:00,Trinec,Liberec,6.0,3.0,2022-2023,czech-republic,extraliga
2022-12-28 18:00:00,Kladno,Trinec,4.0,3.0,2022-2023,czech-republic,extraliga
2022-12-28 18:00:00,Kometa Brno,Mountfield HK,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-28 18:00:00,Liberec,Plzen,2.0,1.0,2022-2023,czech-republic,extraliga
2022-12-28 17:30:00,Ceske Budejovice,Olomouc,4.0,2.0,2022-2023,czech-republic,extraliga
2022-12-28 17:30:00,Vitkovice,Mlada Boleslav,5.0,2.0,2022-2023,czech-republic,extraliga
2022-12-28 17:00:00,Karlovy Vary,Litvinov,3.0,0.0,2022-2023,czech-republic,extraliga
2022-12-26 17:30:00,Olomouc,Pardubice,3.0,2.0,2022-2023,czech-republic,extraliga
2022-12-26 17:00:00,Trinec,Kometa Brno,7.0,2.0,2022-2023,czech-republic,extraliga
2022-12-26 16:30:00,Plzen,Karlovy Vary,1.0,0.0,2022-2023,czech-republic,extraliga
2022-12-26 16:00:00,Mlada Boleslav,Liberec,3.0,7.0,2022-2023,czech-republic,extraliga
2022-12-26 16:00:00,Mountfield HK,Ceske Budejovice,1.0,4.0,2022-2023,czech-republic,extraliga
2022-12-26 15:30:00,Litvinov,Kladno,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-22 18:30:00,Sparta Prague,Plzen,3.0,0.0,2022-2023,czech-republic,extraliga
2022-12-22 18:00:00,Kladno,Mountfield HK,3.0,6.0,2022-2023,czech-republic,extraliga
2022-12-22 18:00:00,Liberec,Kometa Brno,2.0,1.0,2022-2023,czech-republic,extraliga
2022-12-22 18:00:00,Pardubice,Mlada Boleslav,2.0,1.0,2022-2023,czech-republic,extraliga
2022-12-22 17:30:00,Ceske Budejovice,Litvinov,2.0,5.0,2022-2023,czech-republic,extraliga
2022-12-22 17:30:00,Karlovy Vary,Olomouc,0.0,3.0,2022-2023,czech-republic,extraliga
2022-12-22 17:30:00,Vitkovice,Trinec,1.0,2.0,2022-2023,czech-republic,extraliga
2022-12-20 18:00:00,Kometa Brno,Kladno,3.0,2.0,2022-2023,czech-republic,extraliga
2022-12-20 18:00:00,Mountfield HK,Vitkovice,4.0,3.0,2022-2023,czech-republic,extraliga
2022-12-20 18:00:00,Olomouc,Sparta Prague,0.0,1.0,2022-2023,czech-republic,extraliga
2022-12-20 17:30:00,Litvinov,Liberec,3.0,2.0,2022-2023,czech-republic,extraliga
2022-12-20 17:30:00,Mlada Boleslav,Ceske Budejovice,2.0,1.0,2022-2023,czech-republic,extraliga
2022-12-20 17:30:00,Plzen,Pardubice,0.0,2.0,2022-2023,czech-republic,extraliga
2022-12-20 17:20:00,Trinec,Karlovy Vary,4.0,2.0,2022-2023,czech-republic,extraliga
2022-12-11 17:20:00,Ceske Budejovice,Kometa Brno,3.0,1.0,2022-2023,czech-republic,extraliga
2022-12-11 17:00:00,Olomouc,Mlada Boleslav,2.0,0.0,2022-2023,czech-republic,extraliga
2022-12-11 17:00:00,Pardubice,Trinec,0.0,3.0,2022-2023,czech-republic,extraliga
2022-12-11 16:00:00,Liberec,Kladno,7.0,3.0,2022-2023,czech-republic,extraliga
2022-12-11 16:00:00,Vitkovice,Plzen,3.0,2.0,2022-2023,czech-republic,extraliga
2022-12-11 15:30:00,Karlovy Vary,Mountfield HK,1.0,4.0,2022-2023,czech-republic,extraliga
2022-12-11 15:30:00,Litvinov,Sparta Prague,5.0,2.0,2022-2023,czech-republic,extraliga
2022-12-09 18:00:00,Kometa Brno,Karlovy Vary,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-09 17:30:00,Litvinov,Vitkovice,5.0,3.0,2022-2023,czech-republic,extraliga
2022-12-09 17:30:00,Mlada Boleslav,Sparta Prague,1.0,2.0,2022-2023,czech-republic,extraliga
2022-12-09 17:30:00,Plzen,Olomouc,5.0,4.0,2022-2023,czech-republic,extraliga
2022-12-09 17:00:00,Trinec,Ceske Budejovice,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-06 18:00:00,Liberec,Sparta Prague,0.0,1.0,2022-2023,czech-republic,extraliga
2022-12-06 18:00:00,Pardubice,Litvinov,1.0,0.0,2022-2023,czech-republic,extraliga
2022-12-04 17:10:00,Mountfield HK,Pardubice,4.0,0.0,2022-2023,czech-republic,extraliga
2022-12-04 17:00:00,Kometa Brno,Sparta Prague,2.0,6.0,2022-2023,czech-republic,extraliga
2022-12-04 16:30:00,Plzen,Ceske Budejovice,4.0,1.0,2022-2023,czech-republic,extraliga
2022-12-04 16:00:00,Kladno,Karlovy Vary,4.0,1.0,2022-2023,czech-republic,extraliga
2022-12-04 15:30:00,Litvinov,Olomouc,5.0,3.0,2022-2023,czech-republic,extraliga
2022-12-04 15:00:00,Liberec,Vitkovice,2.0,3.0,2022-2023,czech-republic,extraliga
2022-12-04 15:00:00,Trinec,Mlada Boleslav,3.0,0.0,2022-2023,czech-republic,extraliga
2022-12-02 18:30:00,Sparta Prague,Mountfield HK,2.0,1.0,2022-2023,czech-republic,extraliga
2022-12-02 18:00:00,Kladno,Ceske Budejovice,1.0,6.0,2022-2023,czech-republic,extraliga
2022-12-02 18:00:00,Olomouc,Trinec,4.0,2.0,2022-2023,czech-republic,extraliga
2022-12-02 17:30:00,Karlovy Vary,Liberec,0.0,2.0,2022-2023,czech-republic,extraliga
2022-12-02 17:30:00,Vitkovice,Kometa Brno,4.0,1.0,2022-2023,czech-republic,extraliga
2022-12-01 17:30:00,Mlada Boleslav,Plzen,0.0,1.0,2022-2023,czech-republic,extraliga
2022-11-29 18:30:00,Sparta Prague,Trinec,1.0,0.0,2022-2023,czech-republic,extraliga
2022-11-29 18:00:00,Kometa Brno,Olomouc,1.0,0.0,2022-2023,czech-republic,extraliga
2022-11-29 18:00:00,Mountfield HK,Mlada Boleslav,0.0,2.0,2022-2023,czech-republic,extraliga
2022-11-29 18:00:00,Pardubice,Liberec,1.0,3.0,2022-2023,czech-republic,extraliga
2022-11-29 17:30:00,Ceske Budejovice,Karlovy Vary,0.0,3.0,2022-2023,czech-republic,extraliga
2022-11-29 17:30:00,Litvinov,Plzen,2.0,4.0,2022-2023,czech-republic,extraliga
2022-11-29 17:10:00,Kladno,Vitkovice,2.0,3.0,2022-2023,czech-republic,extraliga
2022-11-27 17:10:00,Mlada Boleslav,Litvinov,6.0,4.0,2022-2023,czech-republic,extraliga
