DT,Home,Away,Home_points,Away_points,season,country,league
2023-04-07 03:00:00,Utah Jazz,Oklahoma City Thunder,98.0,114.0,2022-2023,usa,nba
2023-04-07 02:00:00,San Antonio Spurs,Portland Trail Blazers,129.0,127.0,2022-2023,usa,nba
2023-04-07 01:30:00,Philadelphia 76ers,Miami Heat,101.0,129.0,2022-2023,usa,nba
2023-04-07 01:00:00,Orlando Magic,Cleveland Cavaliers,94.0,118.0,2022-2023,usa,nba
2023-04-06 04:00:00,Los Angeles Clippers,Los Angeles Lakers,125.0,118.0,2022-2023,usa,nba
2023-04-06 02:30:00,Dallas Mavericks,Sacramento Kings,123.0,119.0,2022-2023,usa,nba
2023-04-06 02:00:00,New Orleans Pelicans,Memphis Grizzlies,138.0,131.0,2022-2023,usa,nba
2023-04-06 01:30:00,Atlanta Hawks,Washington Wizards,134.0,116.0,2022-2023,usa,nba
2023-04-06 01:30:00,Boston Celtics,Toronto Raptors,97.0,93.0,2022-2023,usa,nba
2023-04-06 01:30:00,Milwaukee Bucks,Chicago Bulls,105.0,92.0,2022-2023,usa,nba
2023-04-06 01:00:00,Detroit Pistons,Brooklyn Nets,108.0,123.0,2022-2023,usa,nba
2023-04-06 01:00:00,Indiana Pacers,New York Knicks,129.0,138.0,2022-2023,usa,nba
2023-04-05 04:00:00,Golden State Warriors,Oklahoma City Thunder,136.0,125.0,2022-2023,usa,nba
2023-04-05 04:00:00,Phoenix Suns,San Antonio Spurs,115.0,94.0,2022-2023,usa,nba
2023-04-05 03:00:00,Utah Jazz,Los Angeles Lakers,133.0,135.0,2022-2023,usa,nba
2023-04-05 02:00:00,Chicago Bulls,Atlanta Hawks,105.0,123.0,2022-2023,usa,nba
2023-04-05 02:00:00,Houston Rockets,Denver Nuggets,124.0,103.0,2022-2023,usa,nba
2023-04-05 02:00:00,Memphis Grizzlies,Portland Trail Blazers,119.0,109.0,2022-2023,usa,nba
2023-04-05 02:00:00,New Orleans Pelicans,Sacramento Kings,103.0,121.0,2022-2023,usa,nba
2023-04-05 02:00:00,Philadelphia 76ers,Boston Celtics,103.0,101.0,2022-2023,usa,nba
2023-04-05 01:30:00,Brooklyn Nets,Minnesota Timberwolves,102.0,107.0,2022-2023,usa,nba
2023-04-05 01:00:00,Charlotte Hornets,Toronto Raptors,100.0,120.0,2022-2023,usa,nba
2023-04-05 01:00:00,Detroit Pistons,Miami Heat,105.0,118.0,2022-2023,usa,nba
2023-04-05 01:00:00,Orlando Magic,Cleveland Cavaliers,113.0,117.0,2022-2023,usa,nba
2023-04-05 01:00:00,Washington Wizards,Milwaukee Bucks,128.0,140.0,2022-2023,usa,nba
2023-04-03 02:30:00,Denver Nuggets,Golden State Warriors,112.0,110.0,2022-2023,usa,nba
2023-04-03 02:00:00,Cleveland Cavaliers,Indiana Pacers,115.0,105.0,2022-2023,usa,nba
2023-04-03 02:00:00,Milwaukee Bucks,Philadelphia 76ers,117.0,104.0,2022-2023,usa,nba
2023-04-03 01:00:00,Houston Rockets,Los Angeles Lakers,109.0,134.0,2022-2023,usa,nba
2023-04-03 01:00:00,Oklahoma City Thunder,Phoenix Suns,118.0,128.0,2022-2023,usa,nba
2023-04-03 00:00:00,Atlanta Hawks,Dallas Mavericks,132.0,130.0,2022-2023,usa,nba
2023-04-03 00:00:00,New York Knicks,Washington Wizards,118.0,109.0,2022-2023,usa,nba
2023-04-03 00:00:00,Orlando Magic,Detroit Pistons,128.0,102.0,2022-2023,usa,nba
2023-04-03 00:00:00,Sacramento Kings,San Antonio Spurs,134.0,142.0,2022-2023,usa,nba
2023-04-02 21:30:00,Brooklyn Nets,Utah Jazz,111.0,110.0,2022-2023,usa,nba
2023-04-02 21:30:00,Chicago Bulls,Memphis Grizzlies,128.0,107.0,2022-2023,usa,nba
2023-04-02 21:30:00,Minnesota Timberwolves,Portland Trail Blazers,105.0,107.0,2022-2023,usa,nba
2023-04-02 19:00:00,Charlotte Hornets,Toronto Raptors,108.0,128.0,2022-2023,usa,nba
2023-04-02 02:30:00,New Orleans Pelicans,Los Angeles Clippers,122.0,114.0,2022-2023,usa,nba
2023-04-02 01:30:00,Miami Heat,Dallas Mavericks,129.0,122.0,2022-2023,usa,nba
2023-04-01 04:30:00,Phoenix Suns,Denver Nuggets,100.0,93.0,2022-2023,usa,nba
2023-04-01 04:00:00,Golden State Warriors,San Antonio Spurs,130.0,115.0,2022-2023,usa,nba
2023-04-01 04:00:00,Portland Trail Blazers,Sacramento Kings,114.0,138.0,2022-2023,usa,nba
2023-04-01 02:00:00,Houston Rockets,Detroit Pistons,121.0,115.0,2022-2023,usa,nba
2023-04-01 02:00:00,Memphis Grizzlies,Los Angeles Clippers,108.0,94.0,2022-2023,usa,nba
2023-04-01 02:00:00,Minnesota Timberwolves,Los Angeles Lakers,111.0,123.0,2022-2023,usa,nba
2023-04-01 01:30:00,Boston Celtics,Utah Jazz,122.0,114.0,2022-2023,usa,nba
2023-04-01 01:30:00,Brooklyn Nets,Atlanta Hawks,124.0,107.0,2022-2023,usa,nba
2023-04-01 01:30:00,Cleveland Cavaliers,New York Knicks,116.0,130.0,2022-2023,usa,nba
2023-04-01 01:00:00,Charlotte Hornets,Chicago Bulls,91.0,121.0,2022-2023,usa,nba
2023-04-01 01:00:00,Indiana Pacers,Oklahoma City Thunder,121.0,117.0,2022-2023,usa,nba
2023-04-01 01:00:00,Philadelphia 76ers,Toronto Raptors,117.0,110.0,2022-2023,usa,nba
